permno,start,ending
66181,1988-03-03,2024-12-31
66384,2009-07-01,2024-12-31
66800,1980-02-14,2024-12-31
67598,2008-03-31,2024-12-31
68144,1988-05-05,2019-12-06
69032,1995-09-22,2024-12-31
69550,2004-04-23,2020-11-16
69649,2017-03-20,2024-12-31
69796,2005-07-05,2024-12-31
70033,2000-01-31,2020-06-19
70332,1997-07-28,2019-08-08
70519,1988-05-26,2024-12-31
70578,1989-01-12,2024-12-31
71175,1994-03-11,2021-09-17
71563,1997-12-04,2024-12-31
72726,1997-08-15,2024-12-31
73139,2000-12-12,2024-12-31
75034,1987-04-09,2024-12-31
75100,2000-06-21,2021-01-06
75154,1998-12-22,2024-12-31
75186,1997-06-02,2024-12-31
75241,2008-09-24,2024-05-07
75341,2017-07-26,2022-09-30
75510,1997-05-06,2024-12-31
75607,2003-03-31,2024-12-31
75819,2009-03-04,2024-12-31
75825,2000-11-02,2024-12-31
75828,2002-07-22,2024-12-31
76076,1993-12-31,2024-12-31
76082,2008-06-23,2024-12-31
76095,2016-03-30,2024-12-31
76201,1999-11-08,2022-02-14
76226,1994-09-30,2024-12-31
76605,1997-01-02,2024-12-31
76614,2013-05-01,2024-12-31
76639,2008-01-02,2019-09-20
76709,2017-01-05,2024-12-31
76712,1998-10-02,2024-12-31
76744,2013-09-23,2024-12-31
76841,2003-11-13,2024-12-31
77129,2006-04-03,2024-12-31
77178,1999-07-22,2024-12-31
77182,2011-12-19,2021-09-17
77274,2004-07-01,2024-12-31
77338,2009-12-23,2024-12-31
77357,2017-03-16,2024-12-31
77418,1999-01-04,2018-06-19
77462,1995-12-01,2020-04-03
77496,2013-12-23,2024-12-31
77605,1995-02-24,2024-12-31
77606,1998-08-14,2020-09-18
77661,2005-07-05,2024-12-31
77668,2003-09-26,2018-12-21
77702,2000-06-08,2024-12-31
77730,2005-08-11,2024-12-31
77768,1992-07-06,2018-10-30
78034,2005-10-11,2018-03-16
78877,2006-03-03,2018-03-16
78916,1999-04-12,2020-05-11
78975,2000-12-11,2024-12-31
78987,2007-09-07,2024-12-31
79057,2010-07-15,2024-12-31
79103,2009-03-27,2024-12-31
79129,2013-12-10,2018-08-27
79145,2014-12-05,2024-12-31
79265,2009-01-02,2021-05-13
79323,1995-07-13,2024-12-31
79545,2011-12-19,2024-12-31
79547,2001-12-03,2024-12-31
79637,2014-09-22,2024-12-31
79678,2015-08-31,2023-10-17
79698,2017-04-05,2024-12-31
79782,2017-03-02,2024-12-31
79906,2017-02-28,2024-12-31
79915,2010-12-20,2019-02-14
80080,1994-01-04,2024-12-31
80100,2002-06-26,2024-12-31
80183,2016-12-02,2024-12-31
80191,2016-07-01,2024-12-31
80204,2014-07-02,2024-12-31
80286,2014-01-24,2024-12-31
80381,2007-01-10,2024-12-31
80399,2013-05-09,2019-12-20
80681,2014-04-02,2024-12-31
80711,2003-03-14,2020-12-18
81045,2015-04-07,2024-12-31
81055,1998-07-01,2024-12-31
81061,1999-01-13,2024-12-31
81481,2011-12-19,2024-12-31
81540,2001-08-30,2024-12-31
81655,1995-05-30,2024-12-31
81696,2017-03-13,2023-06-16
81736,2017-07-26,2024-12-31
81774,1995-07-31,2024-12-31
82303,2017-06-19,2024-12-31
