gvkey,fyear,overconfidence,overconfidence_pca,overconfidence_2comp,z_net_tone,z_strong_modality,z_inverse_hedging,size,profitability,mtb,tangibility,cash,age,fin_constrained,sa_index,book_leverage_t1,debt_share_t1,debt_share_strict_t1,net_external_t1
026590,2021,-0.2187845985435584,1.1995649231234162,0.5060314483324828,1.386787149829626,-1.6684166922956407,-0.3747242531646605,9.70902256179548,0.07815735932707783,1.915474112538338,0.034684643648841516,0.049758586134645164,8,1,-3.4768867365408016,0.2152656287364857,1.0,,-1205.3000000000002
026590,2022,-0.3237051941365801,0.6584983636145858,0.1809034456509949,0.8409924990250689,-1.3329224737117302,-0.4791856077230789,9.673483018415117,0.09426956817237864,1.6421359168313339,0.036744993895762273,0.04463015871018086,9,1,-3.5168867365408016,0.2252923993897752,1.0,,-723.6
027786,2018,1.207971353466167,1.570087613350406,1.376753568514837,3.329932990153074,0.8704069233688264,-0.5764258531233996,9.300820725104558,0.24865259888553942,0.8800570841326391,0.8248835297341738,0.0033182337401472723,26,1,-4.196886736540802,0.5867350089544865,1.0,1.0,986.0
027786,2019,0.6864079119027404,0.7816756862064785,0.727559524562488,2.675069641631812,0.6041046865832453,-1.219950592506836,9.692334329073471,0.13987525473970233,0.6861207706045822,0.8925068573134496,0.0033182337401472723,27,1,-4.236886736540802,0.2982989064398542,1.0,1.0,245.0
027786,2021,0.5817426258636736,0.5322218438870892,0.5468447323285084,-0.0696981625514811,0.6515384129340042,1.163387627208498,9.306468399070404,0.15569079843764194,0.901444712507948,0.7995276591879371,0.08302298119720229,29,1,-4.316886736540802,0.20765451254202225,0.9975914362176628,,-217.0
027786,2022,-0.1972547376944023,-1.2720190024728586,-0.7392532855154336,-0.3070600715557008,0.8867423579476601,-1.1714464994751663,9.646528652727188,0.341285234031549,1.0295483934574605,0.7232350659425911,0.012412723041117145,30,0,-4.356886736540802,0.1479549248747913,1.0,,-1405.0
028180,2019,-0.1227601725274489,-0.1161751601411382,-0.1183143351755509,-0.5837369703680559,-0.1316518472312448,0.347108300016954,9.279601474152733,0.2044945675906677,3.6392727121737476,0.5483329538795726,0.003770215243590653,27,1,-4.236886736540802,0.5315923350914861,0.9719668610886943,,-1788.395
028180,2020,-1.1255064576502034,-1.426567411899951,-1.2613494064532698,-1.231514427413832,-0.8538205600440707,-1.2911843854927072,9.358470852427613,0.23575540229663036,3.307235155659716,0.5251559028898193,0.04015300291239481,28,1,-4.276886736540802,0.5006155542586738,0.0,,-2691.133
028180,2021,-0.5694963758704832,-0.3983437620568493,-0.4729043613653467,0.2217365041911405,-0.762680404880756,-1.167545226921834,9.368941732812756,0.2769405361871408,4.540130380425076,0.5287266760744168,0.030900422717284423,29,1,-4.316886736540802,0.5182959205111127,0.9536599181299527,,-2655.5949999999993
028180,2022,-0.477379859949062,-0.6301464559980776,-0.5472117361972493,-0.2137987174898802,-0.3377161074526876,-0.8806247549046183,9.443670186705324,0.2645256220334228,4.685851361488644,0.5176052320010985,0.008598604733188107,30,0,-4.356886736540802,0.5651991513007826,0.9810341533118992,,-1863.395
028930,2018,-1.0296095830727583,-1.8631531053661463,-1.4365022126080595,-0.9456303368757752,-0.2158243240021561,-1.927374088340344,10.07306153650758,0.12213031735313977,1.947995273463876,0.0825455773126266,0.013335584064821066,26,1,-4.196886736540802,0.4771067023272524,0.9970276008492569,,-888.0
028930,2019,-1.3338374403631612,-2.723453994488653,-2.018347936118467,-1.4528948722076631,0.0351835511474507,-2.583801000029271,10.128669025875903,0.0958045587002515,2.4356440860644284,0.11145263662129257,0.008981677378148577,27,1,-4.236886736540802,0.4593336302174001,1.0,,-869.0
028930,2020,-1.357098893438055,-3.463548973671358,-2.405664619265848,-2.129670893149036,0.7400325582175301,-2.6816583453826595,10.114599007626499,0.050888627990769604,2.191848427189182,0.091737176632525,0.03550463543986074,28,1,-4.276886736540802,0.44558368880366295,0.9989717223650385,,-319.0
028930,2022,-0.8561926692946339,-0.6128530899222642,-0.7198963501041371,-0.8135369099020643,-1.1287853076756276,-0.6262557903062098,10.119203588021541,0.152528712472295,2.315101108200685,0.10364698770904694,0.020431190812008865,30,0,-4.356886736540802,0.5010905974916258,0.9883674288006418,,-2252.0
029736,2018,-0.4032349455436754,-0.6034196036404409,-0.4980150715933197,-0.0129582260030494,-0.2136746934443869,-0.98307191718359,8.03439185979984,0.2849313931847603,3.4375020079332,0.3677042662827338,0.027971368395941738,25,1,-4.145634340729312,0.5122005540275139,0.8962585231770487,,-436.1139999999999
