gvkey,call_year,n_surviving_calls
031673,2020,4
031673,2021,4
031673,2022,4
031846,2018,2
031846,2019,4
031846,2020,4
031846,2021,4
031846,2022,4
061483,2018,3
061483,2019,4
061483,2020,4
061483,2021,4
061483,2022,3
063080,2018,4
063080,2019,4
063080,2020,4
063080,2021,4
063080,2022,3
064166,2018,4
064166,2019,4
064166,2020,4
064166,2021,4
064166,2022,3
065772,2018,4
065772,2019,4
065772,2020,4
065772,2021,4
065772,2022,3
111864,2018,4
111864,2019,4
111864,2020,4
111864,2021,4
111864,2022,3
114524,2018,4
114524,2019,2
114524,2020,3
114524,2021,4
114524,2022,3
125595,2018,4
125595,2019,4
125595,2020,4
125595,2021,4
125595,2022,3
138205,2018,4
138205,2019,4
138205,2020,4
138205,2021,4
138205,2022,3
140541,2018,3
140541,2019,4
140541,2020,3
140541,2021,4
140541,2022,4
141384,2018,4
141384,2019,4
141384,2020,4
141384,2021,4
141384,2022,3
143357,2018,3
143357,2019,3
143357,2020,4
143357,2021,4
143357,2022,4
146017,2018,4
146017,2019,4
146017,2020,3
146017,2021,3
146017,2022,4
148349,2018,4
148349,2019,4
148349,2020,4
148349,2021,4
148349,2022,4
149318,2018,4
149318,2019,4
149318,2020,4
149318,2021,3
149318,2022,3
157855,2019,4
157855,2020,4
157855,2021,4
157855,2022,3
164296,2018,4
164296,2019,4
164296,2020,4
164296,2021,4
164296,2022,3
165993,2018,4
165993,2019,4
165993,2020,4
165993,2021,4
165993,2022,3
170841,2018,4
170841,2019,4
170841,2020,4
170841,2021,3
170841,2022,3
178704,2019,4
178704,2020,4
178704,2021,2
178704,2022,4
179621,2020,2
179621,2022,2
180405,2019,3
180405,2020,3
180405,2021,2
199356,2018,4
199356,2019,4
199356,2020,4
199356,2021,4
199356,2022,2
