gvkey,execid,year,exec_fname,exec_lname,ceoann,becameceo,leftofc,prev_execid,prev_year,conm,ff12_name
008762,36192,2022.0,Jon,Moeller,CEO,2021-11-01,2026-01-01,48233,2021.0,PROCTER & GAMBLE CO,Chems
011032,31814,2021.0,Marc,Miller,CEO,2021-01-01,,08337,2020.0,UNIVERSAL HEALTH SVCS INC,Hlth
012635,35314,2020.0,Frank,Bisignano,CEO,2020-07-01,2025-05-06,23954,2019.0,FISERV INC,Other
013421,47415,2022.0,Anirudh,"Devgan, Ph.D.",CEO,2021-12-15,,35475,2021.0,CADENCE DESIGN SYSTEMS INC,BusEq
013721,44948,2020.0,Kristin,Peck,CEO,2020-01-01,,44952,2019.0,ZOETIS INC,Hlth
014934,47762,2021.0,Richard,Muncrief,CEO,2021-01-07,2025-03-01,27781,2020.0,DEVON ENERGY CORP,Enrgy
020548,21488,2022.0,Thomas,Jorden,CEO,2021-10-01,,10901,2021.0,COTERRA ENERGY INC,Enrgy
025434,27193,2018.0,Kevin,Johnson,CEO,2017-04-03,2022-04-04,00887,2017.0,STARBUCKS CORP,Shops
027786,61863,2021.0,Michael,Wichterich,CEO,2026-02-09,,46256,2020.0,EXPAND ENERGY CORP,Enrgy
027786,41626,2022.0,Domenic,"Dell'Osso, Jr.",CEO,2021-10-11,2026-02-09,61863,2021.0,EXPAND ENERGY CORP,Enrgy
028180,48768,2019.0,Gregory,Johnson,CEO,2018-05-08,2024-01-31,19277,2018.0,O'REILLY AUTOMOTIVE INC,Shops
028930,42880,2022.0,Anthony,"Capuano, Jr.",CEO,2021-02-15,2021-02-23,20993,2021.0,MARRIOTT INTL INC,Other
029736,49417,2020.0,Harry,"Lawton, III",CEO,2020-01-13,,28409,2019.0,TRACTOR SUPPLY CO,Shops
029751,42495,2020.0,Jerry,"Masters, Jr.",CEO,2020-04-20,,29189,2019.0,ALBEMARLE CORP,Chems
030923,44526,2018.0,Douglas,Pferdehirt,CEO,2017-01-11,,28425,2017.0,TECHNIPFMC PLC,Enrgy
031846,50105,2022.0,Ricardo,"Cardenas, CPA",CEO,2022-05-30,,20607,2021.0,DARDEN RESTAURANTS INC,Shops
061483,32967,2019.0,Javier,Rodriguez,CEO,2019-06-01,,07568,2018.0,DAVITA INC,Hlth
065772,48832,2021.0,Patrick,Kaltenbach,CEO,2021-04-01,,25466,2020.0,METTLER-TOLEDO INTL INC,BusEq
111864,58422,2019.0,Brian,Humphries,CEO,2019-04-01,2023-01-12,26787,2018.0,COGNIZANT TECH SOLUTIONS,BusEq
114524,45005,2020.0,Jamie,Iannone,CEO,2020-04-27,,42986,2019.0,EBAY INC,Shops
140541,59232,2020.0,Jide,Zeitlin,CEO,2019-09-04,2020-07-20,45076,2019.0,TAPESTRY INC,NoDur
140541,47858,2021.0,Joanne,Crevoiserat,CEO,2020-07-21,,59232,2020.0,TAPESTRY INC,NoDur
143357,45297,2019.0,David,Rowland,CEO,2019-01-10,2019-09-01,42282,2018.0,ACCENTURE PLC,Other
143357,48510,2020.0,Julie T.,"Sweet, J.D.",CEO,2019-09-01,,45297,2019.0,ACCENTURE PLC,Other
146017,42694,2020.0,Neil,Ashe,CEO,2020-01-31,,11057,2019.0,ACUITY INC,Durbl
148349,40318,2019.0,Kevin,"Stein, Ph.D.",CEO,2018-04-25,2025-09-30,49893,2018.0,TRANSDIGM GROUP INC,Manuf
149318,35232,2018.0,Matthew,Maddox,CEO,2018-02-06,2022-01-31,00643,2017.0,WYNN RESORTS LTD,Other
149318,54705,2022.0,Craig,Billings,CEO,2022-02-01,,35232,2021.0,WYNN RESORTS LTD,Other
157855,23585,2020.0,Keith,Block,CEO,2018-08-07,2020-02-01,35712,2019.0,SALESFORCE INC,BusEq
157855,35712,2021.0,Marc,Benioff,CEO,2021-11-30,2023-01-31,23585,2020.0,SALESFORCE INC,BusEq
157855,56955,2022.0,Bret,Taylor,CEO,2021-11-30,2023-01-31,35712,2021.0,SALESFORCE INC,BusEq
170841,61716,2022.0,Mark,Lashier,CEO,2022-07-01,,41249,2021.0,PHILLIPS 66,Enrgy
178704,49555,2021.0,David,Kimbell,CEO,2021-06-02,2025-01-06,41269,2020.0,ULTA BEAUTY INC,Shops
179621,44582,2021.0,Jacek,Olczak,CEO,2021-05-05,,32598,2020.0,PHILIP MORRIS INTERNATIONAL,NoDur
199356,63767,2022.0,Matthew,Goldberg,CEO,2022-07-01,,43350,2021.0,TRIPADVISOR INC,BusEq
