gvkey,fyear,net_tone,strong_modality,inverse_hedging,n_calls_used,z_net_tone,z_strong_modality,z_inverse_hedging,overconfidence,overconfidence_pca
004510,2020,4.197650083757987,6.676278599613568,-5.939106395415231,4,-1.663248693055968,0.23327700182704247,0.09543021792513,-0.4448471577679318,-1.1231002900048772
004510,2021,6.512284227435642,5.0861303030625,-5.640918003812748,4,-1.3184867177827977,-0.492549960609523,0.2222125355524053,-0.529608047613305,-0.5793861701495717
004510,2022,7.752833766365135,5.947459778687201,-6.135055915238173,3,-1.133708354155101,-0.09939407803824042,0.012117335999724253,-0.4069950320645391,-0.7201946873784665
004818,2018,11.064315057527004,4.481758819851481,-6.597085792200682,4,-0.6404671937153159,-0.7684167579351446,-0.1843263226536332,-0.5310700914346979,-0.3123668629973157
004818,2019,5.489860321498172,5.813689330962946,-8.926373186251464,4,-1.470775530397238,-0.16045391625966088,-1.1746816233772044,-0.9353036900113677,-1.7256833426711056
004818,2021,11.406231648373126,4.795157775913036,-5.668738096070914,4,-0.5895391282321544,-0.6253650609315856,0.21038412146109867,-0.33484002256754714,-0.057398015318067944
004818,2022,8.178437929286671,5.079264204585836,-5.947574845668064,3,-1.0703151253400387,-0.49568400754836317,0.09182964265123826,-0.4913898300790545,-0.4999076126305927
005047,2018,16.13255670923628,6.252487247205239,-2.2877247567020005,2,0.11444131213984779,0.03983643361552106,1.6479072416279121,0.6007283291277603,1.1733604535584157
005047,2019,18.58500611340299,6.597388979557522,-7.233900807641005,4,0.4797307049138679,0.19726764759432824,-0.45508429255141614,0.07397135331892668,-0.04673604313665432
005047,2020,11.743681990999502,7.068766381036525,-6.544114905873265,4,-0.5392763050562946,0.41242898079754164,-0.16180441393924658,-0.09621724606599986,-0.5994015991170831
005047,2021,19.525798751895774,7.452781469158536,-6.461404146647787,4,0.6198606383010425,0.5877135788101634,-0.12663784796072614,0.36031212305015997,0.14587602007035
005047,2022,16.10598195881604,5.707121257944653,-4.563298034914066,3,0.11048303498736632,-0.20909716601149408,0.6803898523962507,0.19392524045737433,0.5974868983925502
005959,2018,18.54847000528942,4.192264430514127,-6.990815701689264,4,0.47428869549893093,-0.9005571587461276,-0.35173052700873036,-0.2593329967519757,0.36315507869288666
005959,2019,14.035298352969061,3.6921730660277476,-7.11912163396735,4,-0.19794280071869993,-1.1288250484852085,-0.40628303112240377,-0.5776836267754374,-0.05238283178771656
005959,2020,8.022683838155896,5.319950874078199,-7.749081632485948,4,-1.093514510116159,-0.38582200625230667,-0.6741264176320141,-0.71782097800016,-1.0654221049912673
005959,2021,19.37333281878927,3.2224660490985944,-6.076703962674355,4,0.5971510207127754,-1.343223930697814,0.036927140782400086,-0.23638192306754616,0.8457578235272433
005959,2022,26.2682965230518,3.4758173732824216,-6.817097253095153,3,1.624147581966912,-1.227581117722148,-0.27786974587967506,0.03956557278836296,1.2856452190658676
006008,2018,20.26993598351751,5.870395457616456,-6.586328398833153,4,0.7306989850648179,-0.13457027021876564,-0.17975254546722372,0.1387920564596095,0.41068477976233514
006008,2019,20.92804003344369,5.7660668848551655,-6.065916323212791,4,0.8287227927614093,-0.18219129476528842,0.04151377785876127,0.22934842528496072,0.6402036907830241
006008,2020,18.670093207058876,5.089337463890607,-5.597484395055231,4,0.4924043253040205,-0.491086044440849,0.2406794300938109,0.08066590365232747,0.6457353600635507
006008,2021,28.32397119093244,8.364329172778849,-2.897949503388328,4,1.9303378543922058,1.00379169068802,1.3884547953316577,1.440861446803961,1.913204392267307
006008,2022,20.554131052578835,7.626665527663298,-3.6029709414972335,3,0.7730294992154476,0.6670833698380786,1.088697144069631,0.8429366710410523,1.0416378651610825
006066,2020,7.929280341505734,6.608261156606771,-5.321029253734269,4,-1.1074268487423256,0.20223027860166556,0.35822130805991353,-0.1823250873602488,-0.5641372613979482
006066,2021,9.561370286581907,5.834724174060263,-6.000615562354793,4,-0.8643290119524857,-0.15085251222472296,0.06927804379785354,-0.3153011601264517,-0.4851355198486269
006066,2022,6.95579573354438,5.215103627800006,-4.3045227911194,3,-1.2524262117109917,-0.43367978055612316,0.7904146758863206,-0.2985637721269314,-0.1711299685375537
006216,2018,26.25701457262887,4.141737227770864,-4.5071463437381905,4,1.6224671490037297,-0.9236204203092804,0.7042641605398722,0.46770362974477386,1.8503382658600112
006216,2019,25.661776416948868,5.639620413404364,-4.040491765122218,4,1.533807140738175,-0.23990808664125277,0.9026741277769064,0.7321910606246096,1.710267991295329
