companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates,rescue_reason
260725,1943370,2020-03-19,"Cintas Corporation, Q3 2020 Earnings Call, Mar 19, 2020",Audited Copy,Final,2020-03-23,2641,0,3.0,2020.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
266510,2213787,2021-02-17,"Devon Energy Corporation, Q4 2020 Earnings Call, Feb 17, 2021",Edited Copy,Final,2021-02-17,3746,0,4.0,2020.0,014934,Devon Energy Corporation,low_match_score (37.03703703703704),Richard Muncrief,David Hager,still_low (37.0)
283857,1640465,2019-01-23,"Kimberly-Clark Corporation, Q4 2018 Earnings Call, Jan 23, 2019",Audited Copy,Final,2019-01-25,4931,0,4.0,2018.0,006435,Kimberly-Clark Corporation,low_match_score (32.0),Paul Alexander,Thomas Falk,still_low (32.0)
289030,2594418,2021-06-30,"Micron Technology, Inc., Q3 2021 Earnings Call, Jun 30, 2021",Edited Copy,Final,2022-06-30,2551,0,3.0,2021.0,007343,"Micron Technology, Inc.",low_match_score (42.857142857142854),Manish Bhatia,Sanjay Mehrotra,still_low (42.9)
289030,2594398,2021-09-28,"Micron Technology, Inc., Q4 2021 Earnings Call, Sep 28, 2021",Edited Copy,Final,2022-06-30,2993,0,4.0,2021.0,007343,"Micron Technology, Inc.",low_match_score (42.857142857142854),Manish Bhatia,Sanjay Mehrotra,still_low (42.9)
289030,2594411,2021-12-20,"Micron Technology, Inc., Q1 2022 Earnings Call, Dec 20, 2021",Edited Copy,Final,2022-06-30,2693,0,1.0,2022.0,007343,"Micron Technology, Inc.",low_match_score (42.857142857142854),Manish Bhatia,Sanjay Mehrotra,still_low (42.9)
289030,2594399,2022-03-29,"Micron Technology, Inc., Q2 2022 Earnings Call, Mar 29, 2022",Edited Copy,Final,2022-06-30,2659,0,2.0,2022.0,007343,"Micron Technology, Inc.",low_match_score (42.857142857142854),Manish Bhatia,Sanjay Mehrotra,still_low (42.9)
289030,2594741,2022-06-30,"Micron Technology, Inc., Q3 2022 Earnings Call, Jun 30, 2022",Edited Copy,Final,2022-07-01,2999,0,3.0,2022.0,007343,"Micron Technology, Inc.",low_match_score (42.857142857142854),Manish Bhatia,Sanjay Mehrotra,still_low (42.9)
289030,2659338,2022-09-29,"Micron Technology, Inc., Q4 2022 Earnings Call, Sep 29, 2022",Audited Copy,Final,2022-10-20,3031,0,4.0,2022.0,007343,"Micron Technology, Inc.",low_match_score (42.857142857142854),Manish Bhatia,Sanjay Mehrotra,still_low (42.9)
296308,1443946,2018-04-26,"Altria Group, Inc., Q1 2018 Earnings Call, Apr 26, 2018",Audited Copy,Final,2018-05-01,3110,0,1.0,2018.0,008543,"Altria Group, Inc.",low_match_score (42.857142857142854),William Gifford,"Howard Willard, III, BA (Ho",still_low (56.2)
