permno,start,ending,gvkey
73139,2000-12-12,2024-12-31,010115
75034,1987-04-09,2024-12-31,032106
75100,2000-06-21,2021-01-06,013646
75154,1998-12-22,2024-12-31,013498
75186,1997-06-02,2024-12-31,013988
75241,2008-09-24,2024-05-07,014359
75341,2017-07-26,2022-09-30,013510
75510,1997-05-06,2024-12-31,012540
75607,2003-03-31,2024-12-31,015855
75819,2009-03-04,2024-12-31,110179
75825,2000-11-02,2024-12-31,016478
75828,2002-07-22,2024-12-31,016721
76076,1993-12-31,2024-12-31,020779
76082,2008-06-23,2024-12-31,020548
76095,2016-03-30,2024-12-31,020904
76201,1999-11-08,2022-02-14,022325
76226,1994-09-30,2024-12-31,013714
76605,1997-01-02,2024-12-31,023809
76614,2013-05-01,2024-12-31,023812
76639,2008-01-02,2019-09-20,010631
76709,2017-01-05,2024-12-31,024197
76712,1998-10-02,2024-12-31,024216
76744,2013-09-23,2024-12-31,024344
76841,2003-11-13,2024-12-31,024468
77129,2006-04-03,2024-12-31,024731
77178,1999-07-22,2024-12-31,024800
77182,2011-12-19,2021-09-17,024782
77274,2004-07-01,2024-12-31,024856
77338,2009-12-23,2024-12-31,024925
77357,2017-03-16,2024-12-31,024975
77418,1999-01-04,2018-06-19,025056
77462,1995-12-01,2020-04-03,004611
77496,2013-12-23,2024-12-31,025119
77605,1995-02-24,2024-12-31,025279
77606,1998-08-14,2020-09-18,025283
77661,2005-07-05,2024-12-31,025340
77668,2003-09-26,2018-12-21,025356
77702,2000-06-08,2024-12-31,025434
77730,2005-08-11,2024-12-31,010793
77768,1992-07-06,2018-10-30,025124
78034,2005-10-11,2018-03-16,025880
78877,2006-03-03,2018-03-16,027786
78916,1999-04-12,2020-05-11,027845
78975,2000-12-11,2024-12-31,027928
78987,2007-09-07,2024-12-31,027965
79057,2010-07-15,2024-12-31,028034
79103,2009-03-27,2024-12-31,028180
79129,2013-12-10,2018-08-27,028119
79145,2014-12-05,2024-12-31,028191
79265,2009-01-02,2021-05-13,028477
79323,1995-07-13,2024-12-31,028349
79545,2011-12-19,2024-12-31,028742
79547,2001-12-03,2024-12-31,028733
79637,2014-09-22,2024-12-31,011032
79678,2015-08-31,2023-10-17,180405
79698,2017-04-05,2024-12-31,012441
79782,2017-03-02,2024-12-31,029099
79906,2017-02-28,2024-12-31,029127
79915,2010-12-20,2019-02-14,029173
80080,1994-01-04,2024-12-31,029392
80100,2002-06-26,2024-12-31,029389
80183,2016-12-02,2024-12-31,029649
80191,2016-07-01,2024-12-31,029751
80204,2014-07-02,2024-12-31,029733
80286,2014-01-24,2024-12-31,029736
80381,2007-01-10,2024-12-31,029875
80399,2013-05-09,2019-12-20,029868
80681,2014-04-02,2024-12-31,030293
80711,2003-03-14,2020-12-18,030490
81045,2015-04-07,2024-12-31,030822
81055,1998-07-01,2024-12-31,030990
81061,1999-01-13,2024-12-31,007171
81481,2011-12-19,2024-12-31,031587
81540,2001-08-30,2024-12-31,031673
81655,1995-05-30,2024-12-31,031846
81696,2017-03-13,2023-06-16,060900
81736,2017-07-26,2024-12-31,031887
81774,1995-07-31,2024-12-31,014590
82303,2017-06-19,2024-12-31,061388
82307,2008-07-31,2024-12-31,061483
82581,2015-03-18,2024-12-31,061494
82598,1999-06-25,2024-12-31,061591
82642,2006-01-05,2024-12-31,061567
82651,2002-01-02,2024-12-31,061574
82686,1999-12-01,2022-09-30,061676
82775,1995-12-20,2024-12-31,061739
83111,2012-05-25,2021-07-20,062263
83143,2009-01-06,2024-12-31,062374
83443,2010-02-16,2024-12-31,002176
83621,2017-06-19,2024-12-31,063080
83862,2004-04-01,2020-10-06,063501
83906,2008-11-19,2018-11-30,063527
84032,2005-03-14,2021-09-17,063892
84129,2001-06-25,2024-03-15,011687
84373,2002-12-12,2024-12-31,064166
84381,1996-12-09,2024-12-31,009203
84767,2017-03-20,2024-12-31,064821
84769,2008-09-30,2024-12-31,014282
84788,2005-11-21,2024-12-31,064768
85035,2015-06-12,2024-12-20,064853
85058,2006-04-03,2024-12-31,064925
85072,2007-02-02,2024-12-31,064891
85257,2013-09-23,2024-12-31,001598
85265,2015-03-23,2021-03-19,065290
85269,2004-04-29,2024-12-31,015247
85348,1997-10-07,2024-12-31,065417
85459,2007-03-02,2024-12-31,065609
85592,2011-06-03,2024-12-31,029984
85593,2014-07-01,2019-12-20,065886
85621,2016-09-06,2024-12-31,065772
85631,1989-12-21,2024-12-31,001878
85663,2014-09-22,2024-12-31,066065
85675,2016-12-02,2018-10-10,065967
85753,2006-02-01,2024-12-31,066368
85792,2009-07-01,2024-12-31,066446
85913,1998-05-21,2024-12-31,028930
85914,1999-06-30,2024-12-31,002184
85926,1998-04-01,2023-12-15,009555
86021,2004-12-01,2019-06-28,110685
86111,2007-11-19,2024-12-31,105365
86136,1998-06-30,2024-12-31,008272
86158,2006-11-17,2024-12-31,111864
86228,2008-12-05,2024-12-31,112168
86314,2001-09-04,2018-09-14,024318
86339,2012-03-14,2024-12-31,113490
86356,2002-07-22,2024-12-31,114524
86580,2001-11-30,2024-12-31,117768
86783,2009-11-06,2024-12-31,119314
86868,2002-07-22,2024-12-31,114628
86964,2010-12-20,2024-12-31,121077
86979,2006-06-02,2024-12-31,121718
86996,2017-09-01,2024-12-31,121382
87055,1993-10-22,2024-12-31,029028
87137,2000-08-30,2024-12-31,014934
87184,2009-07-27,2019-07-12,122841
87267,2011-04-04,2024-12-31,124434
87299,2007-07-12,2024-12-31,125595
87432,2000-06-05,2024-12-31,126554
87447,2002-07-22,2024-12-31,010920
87541,2017-07-26,2024-12-31,128978
87657,2011-04-01,2024-12-31,133366
