permno,start,ending,gvkey,sic,conm
25320,1957-03-01,2024-12-31,002663,2030,CAMPBELL'S CO (THE)
25419,1959-04-01,2024-03-15,011465,3630,WHIRLPOOL CORP
25582,2008-09-22,2024-12-31,005492,3812,L3HARRIS TECHNOLOGIES INC
25778,1987-07-09,2018-11-05,003310,7372,CA INC
25785,1957-03-01,2024-12-31,004839,3711,FORD MOTOR CO
25953,1985-10-24,2024-12-31,004058,3559,DOVER CORP
26403,1976-07-01,2024-12-31,003980,4888,DISNEY (WALT) CO
26710,1995-05-10,2024-12-31,006781,6331,LOEWS CORP
26825,1961-04-26,2024-12-31,006375,2040,KELLANOVA
27043,2007-02-12,2021-04-19,011115,3845,VARIAN MEDICAL SYSTEMS INC
27828,1974-10-17,2024-12-31,005606,3570,HP INC
27887,1972-09-14,2024-12-31,002086,3841,BAXTER INTERNATIONAL INC
27959,1976-07-01,2024-12-31,004093,4931,DUKE ENERGY CORP
27983,1963-09-05,2021-03-19,011636,3577,XEROX HOLDINGS CORP
27991,1999-10-04,2024-12-31,001075,4911,PINNACLE WEST CAPITAL CORP
28222,1985-04-11,2024-12-31,001209,2810,AIR PRODUCTS & CHEMICALS INC
28388,2005-08-12,2023-01-04,011220,6798,VORNADO REALTY TRUST
28484,1984-05-17,2024-12-31,001380,1311,HESS CORP
28804,2016-05-13,2023-12-15,001230,4512,ALASKA AIR GROUP INC
29946,1982-10-14,2024-12-31,002435,2085,BROWN FORMAN CORP
30681,1997-12-24,2024-12-31,004066,7311,OMNICOM GROUP INC
30940,2008-10-02,2021-03-19,004108,3561,FLOWSERVE CORP
32707,2010-03-01,2020-05-21,005581,1381,HELMERICH & PAYNE
32870,2009-03-04,2024-12-31,005709,2011,HORMEL FOODS CORP
34032,1981-06-18,2024-12-31,007085,3430,MASCO CORP
34746,1996-03-08,2024-12-31,004640,6020,FIFTH THIRD BANCORP
34817,1985-04-18,2024-12-31,008030,3312,NUCOR CORP
34833,1982-12-09,2024-12-31,008068,1311,OCCIDENTAL PETROLEUM CORP
35044,1998-08-28,2024-12-31,004674,6020,REGIONS FINANCIAL CORP
35554,2004-02-27,2024-12-31,004699,6020,M&T BANK CORP
36468,1964-05-14,2024-12-31,009667,2851,SHERWIN-WILLIAMS CO
37284,2007-09-27,2018-09-28,010466,2911,ANDEAVOR
37584,1998-04-29,2024-12-31,004885,6282,FRANKLIN RESOURCES INC
38093,2016-05-31,2024-12-31,004973,6411,ARTHUR J GALLAGHER & CO
38156,1975-02-06,2024-12-31,011506,4922,WILLIAMS COS INC
38703,1976-07-01,2024-12-31,008007,6020,WELLS FARGO & CO
38762,2000-11-02,2024-12-31,007974,4932,NISOURCE INC
39490,1997-07-28,2024-12-31,001678,1311,APA CORP
39538,1982-03-11,2019-06-06,007116,3942,MATTEL INC
39642,1972-09-14,2024-12-31,002111,3841,BECTON DICKINSON & CO
39917,1963-12-05,2024-12-31,011456,2400,WEYERHAEUSER CO
40125,2017-04-04,2023-10-02,003336,7370,DXC TECHNOLOGY CO
40272,1976-03-04,2024-12-31,006078,2860,INTL FLAVORS & FRAGRANCES
40539,1985-09-26,2024-12-31,011672,5651,TJX COS INC (THE)
41080,1965-01-07,2024-12-31,003650,3510,CUMMINS INC
41355,1985-11-07,2024-12-31,008358,3490,PARKER-HANNIFIN CORP
42200,1985-05-09,2024-12-31,004145,3826,REVVITY INC
42585,2008-11-06,2024-12-31,009777,2033,SMUCKER (JM) CO
42877,2015-07-01,2024-12-31,005783,4213,HUNT (JB) TRANSPRT SVCS INC
42906,1997-08-06,2024-12-31,005786,6020,HUNTINGTON BANCSHARES
43350,1982-09-16,2024-12-31,010016,3540,STANLEY BLACK & DECKER INC
43449,1970-06-25,2024-12-31,007154,5812,MCDONALD'S CORP
43553,1979-05-03,2024-04-02,011060,2300,VF CORP
44206,2009-03-17,2024-12-31,007970,4931,EVERSOURCE ENERGY
44601,1987-12-24,2024-12-31,001913,2670,AVERY DENNISON CORP
44644,1981-02-26,2024-12-31,001891,7374,AUTOMATIC DATA PROCESSING
45356,2010-08-27,2024-12-31,006268,3585,JOHNSON CONTROLS INTL PLC
45751,1987-08-06,2024-12-31,007065,6411,MARSH
45911,2015-03-12,2024-12-31,001327,3674,SKYWORKS SOLUTIONS INC
46578,1969-01-16,2024-12-31,003121,2842,CLOROX CO/DE
46674,1973-11-15,2024-12-31,005125,5013,GENUINE PARTS CO
46703,2007-03-20,2024-12-31,007063,6798,HOST HOTELS & RESORTS INC
46886,1997-09-15,2024-12-31,006304,3827,KLA CORP
47896,1976-07-01,2024-12-31,002968,6020,JPMORGAN CHASE & CO
48486,2012-06-05,2024-12-31,006565,3559,LAM RESEARCH CORP
48506,1979-12-27,2024-12-31,139665,7323,MOODY'S CORP
48653,1995-12-01,2024-12-31,027914,6324,HUMANA INC
48725,1969-07-16,2024-12-31,010867,4011,UNION PACIFIC CORP
49015,1976-07-01,2023-09-15,006742,6311,LINCOLN NATIONAL CORP
49154,1976-12-09,2024-12-31,003813,5331,TARGET CORP
49373,1986-11-28,2020-09-18,002269,7200,BLOCK H & R INC
49656,1995-03-31,2024-12-31,002019,6020,BANK OF NEW YORK MELLON CORP
49680,1998-11-18,2024-12-31,003735,3826,DANAHER CORP
50017,2007-12-21,2018-06-15,006788,1311,RANGE RESOURCES CORP
50876,1970-11-19,2024-12-31,006730,2834,LILLY (ELI) & CO
52038,1986-12-18,2024-12-31,010247,5140,SYSCO CORP
52090,2003-03-21,2024-12-31,007146,2090,MCCORMICK & CO INC
52230,2000-12-05,2024-06-21,002312,7363,ROBERT HALF INC
52329,2007-10-26,2024-12-31,006216,8700,JACOBS SOLUTIONS INC
52476,1997-06-19,2024-12-31,004423,7323,EQUIFAX INC
52695,1981-05-14,2024-12-31,005256,5000,GRAINGER (W W) INC
52708,2005-10-04,2024-12-31,006669,1531,LENNAR CORP
52978,1984-09-13,2024-12-31,005518,3944,HASBRO INC
53065,1992-10-30,2024-12-31,006136,7311,INTERPUBLIC GROUP OF COS
53613,1994-09-27,2024-12-31,007343,3674,MICRON TECHNOLOGY INC
54148,1984-04-12,2024-12-31,008823,1531,PULTEGROUP INC
55976,1982-08-19,2024-12-31,011259,5331,WALMART INC
56274,1983-09-01,2024-12-31,003362,2000,CONAGRA BRANDS INC
56573,1986-02-13,2024-12-31,005878,3560,ILLINOIS TOOL WORKS
57568,1984-10-04,2024-12-31,001988,3411,BALL CORP
57665,1988-11-03,2024-12-31,007906,3021,NIKE INC  -CL B
57817,1986-08-07,2020-06-19,007922,5651,NORDSTROM INC
57904,1999-05-28,2024-12-31,001449,6321,AFLAC INC
58246,1998-01-30,2024-12-31,007982,6020,NORTHERN TRUST CORP
58413,2016-02-01,2024-12-31,004605,6798,FEDERAL REALTY INVESTMENT TR
58683,1994-07-13,2024-12-31,009882,4512,SOUTHWEST AIRLINES
58819,2016-07-01,2024-12-31,011554,4931,ALLIANT ENERGY CORP
59010,1986-08-21,2022-02-02,004990,5651,GAP INC
59176,1976-07-01,2024-12-31,001447,6141,AMERICAN EXPRESS CO
59248,1976-07-01,2024-12-31,003505,2082,MOLSON COORS BEVERAGE CO
59300,2016-03-07,2024-12-31,010894,6798,UDR INC
59328,1976-12-09,2024-12-31,006008,3674,INTEL CORP
59408,1976-07-01,2024-12-31,007647,6020,BANK OF AMERICA CORP
59459,1976-07-01,2024-12-31,062689,6331,TRAVELERS COS INC
60097,1986-10-23,2024-12-31,007228,3845,MEDTRONIC PLC
60206,1982-09-16,2024-12-31,009778,3420,SNAP-ON INC
60442,1988-04-14,2024-12-31,008245,6020,PNC FINANCIAL SVCS GROUP INC
60506,1980-10-02,2024-12-31,008253,3711,PACCAR INC
60599,1999-03-25,2023-03-17,002884,4813,LUMEN TECHNOLOGIES INC
60628,1980-11-06,2024-12-31,004598,4513,FEDEX CORP
60871,1999-10-12,2024-12-31,001632,3674,ANALOG DEVICES INC
60943,1999-10-18,2021-12-17,006649,2510,LEGGETT & PLATT INC
60986,1989-04-27,2023-09-15,007875,3630,NEWELL BRANDS INC
61241,2017-03-20,2024-12-31,001161,3674,ADVANCED MICRO DEVICES
61399,1984-03-01,2024-12-31,006829,5211,LOWE'S COS INC
61621,1998-10-01,2024-12-31,008402,8721,PAYCHEX INC
61735,1996-04-23,2024-12-31,003221,6411,AON PLC
61815,2007-10-08,2020-10-09,007912,1311,NOBLE ENERGY INC
62092,1997-01-02,2024-12-31,010530,3826,THERMO FISHER SCIENTIFIC INC
62148,1980-11-06,2024-12-31,002574,4011,CSX CORP
62308,1989-04-27,2024-12-31,010614,6311,GLOBE LIFE INC
64186,1982-04-08,2024-12-31,002547,6324,CIGNA GROUP (THE)
64282,1983-09-15,2024-09-30,006733,5990,BATH & BODY WORKS INC
64311,1982-06-03,2024-12-31,007923,4011,NORFOLK SOUTHERN CORP
64390,1997-08-04,2024-12-31,013341,6331,PROGRESSIVE CORP-OHIO
64653,2005-08-19,2024-12-31,010096,6798,PUBLIC STORAGE
64936,1983-05-20,2024-12-31,004029,4911,DOMINION ENERGY INC
64995,1994-03-02,2024-12-31,009783,6020,KEYCORP
65402,2017-07-26,2024-12-31,009771,3630,SMITH (A.O.)
65541,2016-09-23,2024-12-31,003504,3851,COOPER COS INC (THE)
65875,1983-12-01,2024-12-31,002136,4812,VERIZON COMMUNICATIONS INC
65947,2009-01-30,2024-12-31,005543,6798,WELLTOWER INC
66093,1983-12-01,2024-12-31,009899,4812,AT&T INC
66157,1995-10-23,2024-12-31,004723,6020,US BANCORP
66181,1988-03-03,2024-12-31,005680,5211,HOME DEPOT INC
66384,2009-07-01,2024-12-31,011399,3572,WESTERN DIGITAL CORP
66800,1980-02-14,2024-12-31,001487,6331,AMERICAN INTERNATIONAL GROUP
67598,2008-03-31,2024-12-31,013125,6798,HEALTHPEAK PROPERTIES INC
68144,1988-05-05,2019-12-06,010187,6020,SUNTRUST BANKS INC
69032,1995-09-22,2024-12-31,012124,6211,MORGAN STANLEY
69550,2004-04-23,2020-11-16,007637,2834,VIATRIS INC
69649,2017-03-20,2024-12-31,008898,6211,RAYMOND JAMES FINANCIAL INC
69796,2005-07-05,2024-12-31,002710,2082,CONSTELLATION BRANDS
70033,2000-01-31,2020-06-19,012389,3751,HARLEY-DAVIDSON INC
70332,1997-07-28,2019-08-08,011923,1311,ANADARKO PETROLEUM CORP
70519,1988-05-26,2024-12-31,003243,6199,CITIGROUP INC
70578,1989-01-12,2024-12-31,004213,2842,ECOLAB INC
71175,1994-03-11,2021-09-17,012726,6321,UNUM GROUP
71563,1997-12-04,2024-12-31,011856,6020,TRUIST FINANCIAL CORP
72726,1997-08-15,2024-12-31,010035,6282,STATE STREET CORP
73139,2000-12-12,2024-12-31,010115,3841,STRYKER CORP
75034,1987-04-09,2024-12-31,032106,1389,BAKER HUGHES CO
75100,2000-06-21,2021-01-06,013646,5944,TIFFANY & CO
75154,1998-12-22,2024-12-31,013498,4400,CARNIVAL CORP LTD
75186,1997-06-02,2024-12-31,013988,6282,SCHWAB (CHARLES) CORP
75241,2008-09-24,2024-05-07,014359,1311,PIONEER NATURAL RESOURCES CO
75341,2017-07-26,2022-09-30,013510,6798,DUKE REALTY CORP
75510,1997-05-06,2024-12-31,012540,7370,ADOBE INC
75607,2003-03-31,2024-12-31,015855,7372,GEN DIGITAL INC
75819,2009-03-04,2024-12-31,110179,6798,VENTAS INC
75825,2000-11-02,2024-12-31,016478,1311,EOG RESOURCES INC
75828,2002-07-22,2024-12-31,016721,7372,ELECTRONIC ARTS INC
76076,1993-12-31,2024-12-31,020779,3576,CISCO SYSTEMS INC
76082,2008-06-23,2024-12-31,020548,1311,COTERRA ENERGY INC
76095,2016-03-30,2024-12-31,020904,3844,HOLOGIC INC
76201,1999-11-08,2022-02-14,022325,3674,XILINX INC
76226,1994-09-30,2024-12-31,013714,4833,PARAMOUNT SKYDANCE CORP
76605,1997-01-02,2024-12-31,023809,5531,AUTOZONE INC
76614,2013-05-01,2024-12-31,023812,2834,REGENERON PHARMACEUTICALS
76639,2008-01-02,2019-09-20,010631,7389,TOTAL SYSTEM SERVICES INC
76709,2017-01-05,2024-12-31,024197,2835,IDEXX LABS INC
76712,1998-10-02,2024-12-31,024216,4991,AES CORP (THE)
76744,2013-09-23,2024-12-31,024344,2836,VERTEX PHARMACEUTICALS INC
76841,2003-11-13,2024-12-31,024468,2836,BIOGEN INC
77129,2006-04-03,2024-12-31,024731,6798,KIMCO REALTY CORP
77178,1999-07-22,2024-12-31,024800,3674,QUALCOMM INC
77182,2011-12-19,2021-09-17,024782,2834,PERRIGO CO PLC
77274,2004-07-01,2024-12-31,024856,2836,GILEAD SCIENCES INC
77338,2009-12-23,2024-12-31,024925,7370,ROPER TECHNOLOGIES INC
77357,2017-03-16,2024-12-31,024975,7372,SYNOPSYS INC
77418,1999-01-04,2018-06-19,025056,4888,TIME WARNER INC
77462,1995-12-01,2020-04-03,004611,5311,MACY'S INC
77496,2013-12-23,2024-12-31,025119,2273,MOHAWK INDUSTRIES INC
77605,1995-02-24,2024-12-31,025279,3845,BOSTON SCIENTIFIC CORP
77606,1998-08-14,2020-09-18,025283,5311,KOHL'S CORP
77661,2005-07-05,2024-12-31,025340,1531,D R HORTON INC
77668,2003-09-26,2018-12-21,025356,5912,EXPRESS SCRIPTS HOLDING CO
77702,2000-06-08,2024-12-31,025434,5812,STARBUCKS CORP
77730,2005-08-11,2024-12-31,010793,2011,TYSON FOODS INC  -CL A
77768,1992-07-06,2018-10-30,025124,2810,LINDE PLC
78034,2005-10-11,2018-03-16,025880,5047,PATTERSON COS INC
78877,2006-03-03,2018-03-16,027786,1311,EXPAND ENERGY CORP
78916,1999-04-12,2020-05-11,027845,2834,ALLERGAN PLC
78975,2000-12-11,2024-12-31,027928,7372,INTUIT INC
78987,2007-09-07,2024-12-31,027965,3674,MICROCHIP TECHNOLOGY INC
79057,2010-07-15,2024-12-31,028034,6331,CHUBB LTD
79103,2009-03-27,2024-12-31,028180,5531,O'REILLY AUTOMOTIVE INC
79129,2013-12-10,2018-08-27,028119,6798,BROOKFIELD PROPERTY REIT
79145,2014-12-05,2024-12-31,028191,4400,ROYAL CARIBBEAN GROUP
79265,2009-01-02,2021-05-13,028477,3812,FLIR SYSTEMS INC
79323,1995-07-13,2024-12-31,028349,6331,ALLSTATE CORP
79545,2011-12-19,2024-12-31,028742,3714,BORGWARNER INC
79547,2001-12-03,2024-12-31,028733,6798,EQUITY RESIDENTIAL
79637,2014-09-22,2024-12-31,011032,8062,UNIVERSAL HEALTH SVCS INC
79678,2015-08-31,2023-10-17,180405,7372,ACTIVISION BLIZZARD INC
79698,2017-04-05,2024-12-31,012441,8700,GARTNER INC
79782,2017-03-02,2024-12-31,029099,6798,REGENCY CENTERS CORP
79906,2017-02-28,2024-12-31,029127,2836,INCYTE CORP
79915,2010-12-20,2019-02-14,029173,1311,OVINTIV EXPLORATION INC
80080,1994-01-04,2024-12-31,029392,2800,EASTMAN CHEMICAL CO
80100,2002-06-26,2024-12-31,029389,6798,SIMON PROPERTY GROUP INC
80183,2016-12-02,2024-12-31,029649,6798,MID-AMERICA APT CMNTYS INC
80191,2016-07-01,2024-12-31,029751,2810,ALBEMARLE CORP
80204,2014-07-02,2024-12-31,029733,1400,MARTIN MARIETTA MATERIALS
80286,2014-01-24,2024-12-31,029736,5200,TRACTOR SUPPLY CO
80381,2007-01-10,2024-12-31,029875,6798,AVALONBAY COMMUNITIES INC
80399,2013-05-09,2019-12-20,029868,6798,MACERICH CO
80681,2014-04-02,2024-12-31,030293,6798,ESSEX PROPERTY TRUST
80711,2003-03-14,2020-12-18,030490,6798,APARTMENT INVST & MGMT CO
81045,2015-04-07,2024-12-31,030822,6798,REALTY INCOME CORP
81055,1998-07-01,2024-12-31,030990,6141,CAPITAL ONE FINANCIAL CORP
81061,1999-01-13,2024-12-31,007171,5122,MCKESSON CORP
81481,2011-12-19,2024-12-31,031587,5331,DOLLAR TREE INC
81540,2001-08-30,2024-12-31,031673,5122,CENCORA INC
81655,1995-05-30,2024-12-31,031846,5812,DARDEN RESTAURANTS INC
81696,2017-03-13,2023-06-16,060900,4841,DISH NETWORK CORP
81736,2017-07-26,2024-12-31,031887,3845,RESMED INC
81774,1995-07-31,2024-12-31,014590,1000,FREEPORT-MCMORAN INC
82303,2017-06-19,2024-12-31,061388,6331,EVEREST GROUP LTD
82307,2008-07-31,2024-12-31,061483,8090,DAVITA INC
82581,2015-03-18,2024-12-31,061494,5047,HENRY SCHEIN INC
82598,1999-06-25,2024-12-31,061591,3572,NETAPP INC
82642,2006-01-05,2024-12-31,061567,2844,ESTEE LAUDER COMPANIES INC
82651,2002-01-02,2024-12-31,061574,3826,WATERS CORP
82686,1999-12-01,2022-09-30,061676,7372,CITRIX SYSTEMS INC
82775,1995-12-20,2024-12-31,061739,6331,HARTFORD INSURANCE GROUP INC
83111,2012-05-25,2021-07-20,062263,2836,ALEXION PHARMACEUTICALS INC
83143,2009-01-06,2024-12-31,062374,6798,IRON MOUNTAIN INC
83443,2010-02-16,2024-12-31,002176,9997,BERKSHIRE HATHAWAY
83621,2017-06-19,2024-12-31,063080,7372,ANSYS INC
83862,2004-04-01,2020-10-06,063501,6211,E TRADE FINANCIAL CORP
83906,2008-11-19,2018-11-30,063527,4955,STERICYCLE INC
84032,2005-03-14,2021-09-17,063892,3533,NOV INC
84129,2001-06-25,2024-03-15,011687,6020,ZIONS BANCORPORATION NA
84373,2002-12-12,2024-12-31,064166,8071,QUEST DIAGNOSTICS INC
84381,1996-12-09,2024-12-31,009203,3620,ROCKWELL AUTOMATION
84767,2017-03-20,2024-12-31,064821,6798,ALEXANDRIA R E EQUITIES INC
84769,2008-09-30,2024-12-31,014282,3678,AMPHENOL CORP
84788,2005-11-21,2024-12-31,064768,5961,AMAZON.COM INC
85035,2015-06-12,2024-12-20,064853,3674,QORVO INC
85058,2006-04-03,2024-12-31,064925,6798,BXP INC
85072,2007-02-02,2024-12-31,064891,2300,RALPH LAUREN CORP
85257,2013-09-23,2024-12-31,001598,3823,AMETEK INC
85265,2015-03-23,2021-03-19,065290,6798,SL GREEN REALTY CORP
85269,2004-04-29,2024-12-31,015247,2911,VALERO ENERGY CORP
