gvkey,turnover_year,n_pre_calls,n_post_calls,delta_overconf,delta_book_leverage,delta_debt_share,delta_size,delta_profitability,delta_mtb,delta_tangibility,delta_cash,ff12_name
020548,2022,4,1,0.835312813463678,-0.08650423196951205,-0.7450980392156863,1.1443884196243328,0.13209324730982352,-0.6869858075849271,0.0177977428222712,-0.00037523890486140105,Enrgy
027786,2021,2,1,-0.36544700682078,-0.23486244515514818,-0.0024085637823372252,-0.19010912801861046,-0.03857312837497895,0.11835578513933742,-0.059167534335874516,0.079704747457055,Enrgy
027786,2022,1,1,-0.7789973635580759,-0.05969958766723088,0.0024085637823372252,0.34006025365678383,0.1855944355939071,0.1281036809495123,-0.07629259324534599,-0.0706102581560851,Enrgy
028930,2022,3,1,0.3839893029966909,0.040415923708853996,-0.010299012270789998,0.013760398018211717,0.06292087779090806,0.12327184596152296,0.008401857520232203,0.0011572251843987302,Other
029736,2020,2,3,0.3931115594310676,0.01123858681297274,-0.2706630199091512,0.6510864969763599,-0.024480978183516577,0.3896196423702598,0.059644391143422015,0.08712930839454255,Shops
029751,2020,2,3,-0.09425753790622138,-0.11072395797099535,-0.2870277653447608,0.3362671924935938,-0.0009263522953472658,0.946111820264409,0.05730118588342975,0.0017791897871490686,Chems
031846,2022,4,1,-0.08694380015042862,0.018986957506113566,0.9618747813920951,0.1381685956193639,0.02367047989903079,0.29433352776133015,0.0916497943432606,-0.03809025923032803,Shops
061483,2019,1,4,-0.6397953644228445,0.03310591600807977,,-0.11191976778592583,0.02477777823680266,0.2864877277539877,0.1869315951635784,0.017993720756090823,Hlth
065772,2021,3,2,0.5382305250042843,0.11720493621427264,0.007782101276569864,0.21852088781159829,0.03855014662630474,3.0995328592088534,-0.03173422271223325,-0.030111081571115073,BusEq
111864,2019,1,4,0.2738402866018827,-0.016343486439088825,0.29438405797101447,0.07740433034706307,-0.020265752663608805,-0.02511809572001633,0.03747696026986294,-0.11731030889897764,BusEq
114524,2020,2,3,-0.03488575092835977,-0.05147014466504285,0.1552906258523784,0.07949564712959756,-0.004512392246801916,0.06986649733142403,-0.014499290380775465,0.09174672093763156,Shops
140541,2020,2,1,-0.4029038412206877,0.010392782549821344,0.0,0.1563765696948849,-0.12412820348239388,-0.8752312242847171,0.18500990756807847,-0.002272473040964007,NoDur
140541,2021,1,2,0.38266637268632253,0.04571229912716762,0.4651975400670891,-0.015299438437558877,0.12051074315847711,0.6315008261467028,-0.06416870706292449,0.004824401960001307,NoDur
143357,2019,1,1,-0.2749231977471977,0.0729958700039343,,0.1975760284146233,-0.03079271598636088,-0.1899761239845068,-0.005000816757698999,-0.0013667593292870095,Other
143357,2020,1,3,0.23310060117565812,-0.0229920034706292,,0.3505169095006604,-0.028808839440121636,0.14608130380353668,0.06602807122542337,-0.01051233732958251,Other
146017,2020,2,3,0.5730569609226107,0.04255923253791366,,0.13247702746562062,-0.025995402561355047,-0.2427191854855557,0.00436316735194868,0.026457372327660905,Durbl
148349,2019,1,4,0.36407089755445643,-0.009833600793678787,-0.2581553878096865,0.38818256611278557,-0.023773430491078162,0.02232761028550856,0.01492054575061675,0.020116387072917408,Manuf
149318,2022,4,1,-0.5403349842623438,0.029557329917456077,0.09576030333425678,0.004091833128399003,-0.024549644192483178,-0.010825311255360903,-0.06220341815595021,0.07499818329368618,Other
157855,2020,2,1,0.6203050356222096,0.027307082592764695,0.8598151169113649,-0.08864299463370173,0.007093611713856501,0.40611648809602885,0.006390850861833747,0.05306345216049485,BusEq
157855,2021,1,2,-0.6203050356222096,-0.027307082592764695,-0.8598151169113649,0.08864299463370173,-0.007093611713856501,-0.40611648809602885,-0.006390850861833747,-0.05306345216049485,BusEq
157855,2022,2,1,-0.146127657633928,0.012236446176102492,0.0,0.31074545855953595,0.020296218352090105,-0.9996073996420971,-0.01233506817085235,-0.0008800459094026603,BusEq
170841,2022,4,1,0.383845923936946,0.008672016462201948,0.03626115981608413,0.31461621515520477,0.08878070677409057,-0.05472393607521664,0.045297723376136634,0.033822806713504516,Enrgy
178704,2021,2,2,0.036753501629946284,-0.03551142824970155,-0.4924719506444611,0.016482538265332636,0.15765394265658084,1.2870780633509442,-0.03675725800202556,-0.04040587185397887,Shops
179621,2021,1,1,1.1510036687434295,0.057216617865340935,,0.3194330370250906,-0.05861944868658309,-0.34374146097958436,-0.03916544743047019,-0.1104017345651541,NoDur
199356,2022,4,1,0.6633682278491694,0.06344905913529197,,0.20249182511666497,0.017042444172287008,-1.1473129657997643,-0.051906519492071396,0.147901294674385,BusEq
