companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates
24893,2595546,2022-05-05,"ANSYS, Inc., Q1 2022 Earnings Call, May 05, 2022",Edited Copy,Final,2022-07-04,3634,0,1.0,2022.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2615960,2022-08-04,"ANSYS, Inc., Q2 2022 Earnings Call, Aug 04, 2022",Edited Copy,Final,2022-08-04,3658,0,2.0,2022.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2673546,2022-11-03,"ANSYS, Inc., Q3 2022 Earnings Call, Nov 03, 2022",Edited Copy,Final,2022-11-03,3720,0,3.0,2022.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
25941,2511954,2022-02-22,"Cadence Design Systems, Inc., Q4 2021 Earnings Call, Feb 22, 2022",Audited Copy,Final,2022-03-01,3631,0,4.0,2021.0,013421,"Cadence Design Systems, Inc.",low_match_score (41.666666666666664),Anirudh Devgan,Lip-Bu Tan
27862,1439711,2018-04-25,"eBay Inc., Q1 2018 Earnings Call, Apr 25, 2018",Audited Copy,Final,2018-04-27,2778,0,1.0,2018.0,114524,eBay Inc.,low_match_score (78.57142857142857),Devin Wenig,"Devin Wenig, J.D."
27862,1502927,2018-07-18,"eBay Inc., Q2 2018 Earnings Call, Jul 18, 2018",Proofed Copy,Final,2018-07-19,3296,0,2.0,2018.0,114524,eBay Inc.,low_match_score (78.57142857142857),Devin Wenig,"Devin Wenig, J.D."
27862,1592129,2018-10-30,"eBay Inc., Q3 2018 Earnings Call, Oct 30, 2018",Audited Copy,Final,2018-11-06,3498,0,3.0,2018.0,114524,eBay Inc.,low_match_score (78.57142857142857),Devin Wenig,"Devin Wenig, J.D."
27862,1643516,2019-01-29,"eBay Inc., Q4 2018 Earnings Call, Jan 29, 2019",Audited Copy,Final,2019-01-31,3572,0,4.0,2018.0,114524,eBay Inc.,low_match_score (78.57142857142857),Devin Wenig,"Devin Wenig, J.D."
27862,1704069,2019-04-23,"eBay Inc., Q1 2019 Earnings Call, Apr 23, 2019",Audited Copy,Final,2019-04-24,3092,0,1.0,2019.0,114524,eBay Inc.,low_match_score (78.57142857142857),Devin Wenig,"Devin Wenig, J.D."
27862,1773643,2019-07-17,"eBay Inc., Q2 2019 Earnings Call, Jul 17, 2019",Proofed Copy,Final,2019-07-19,3221,0,2.0,2019.0,114524,eBay Inc.,low_match_score (78.57142857142857),Devin Wenig,"Devin Wenig, J.D."
27862,1837615,2019-10-23,"eBay Inc., Q3 2019 Earnings Call, Oct 23, 2019",Edited Copy,Final,2019-10-24,3387,0,3.0,2019.0,114524,eBay Inc.,low_match_score (34.48275862068965),Joe Billante,"Devin Wenig, J.D."
27862,1897946,2020-01-28,"eBay Inc., Q4 2019 Earnings Call, Jan 28, 2020",Proofed Copy,Final,2020-02-01,3535,0,4.0,2019.0,114524,eBay Inc.,low_match_score (34.48275862068965),Joe Billante,"Devin Wenig, J.D."
31148,2215414,2021-02-18,"Marriott International, Inc., Q4 2020 Earnings Call, Feb 18, 2021",Edited Copy,Final,2021-02-18,4219,0,4.0,2020.0,028930,"Marriott International, Inc.",low_match_score (32.432432432432435),Stephanie Linnartz,"Arne Sorenson, J.D."
