gvkey,datadate,fyear,at,dltt,dlc,oibdp,ppent,che,prcc_f,csho,dltis,dltr,sstk,prstkc,sich
005680,2021-01-31,2020,70581.0,41178.0,2244.0,23051.0,30667.0,7895.0,270.82,1077.0,7933.0,2872.0,326.0,791.0,5211
005680,2022-01-31,2021,71876.0,41957.0,4312.0,25952.0,31167.0,2343.0,366.98,1035.0,2979.0,1532.0,337.0,14809.0,5211
005680,2023-01-31,2022,76445.0,48188.0,2176.0,26795.0,32572.0,3391.0,324.17,1016.0,6942.0,2491.0,264.0,6696.0,5211
005680,2024-01-31,2023,76530.0,49825.0,2418.0,24709.0,34038.0,4474.0,352.96,992.0,1995.0,1271.0,323.0,7951.0,5211
005709,2017-10-31,2017,6975.908,250.0,0.0,1372.036,1203.251,444.122,31.16,528.424,0.0,0.0,21.726,94.487,2011
005709,2018-10-31,2018,8142.292,624.84,0.0,1319.086,1512.6,459.136,43.64,534.135,375.0,0.16,71.803,46.898,2011
005709,2019-10-31,2019,8109.004,250.0,0.0,1305.363,1629.111,687.637,40.89,534.489,0.0,374.84,59.895,174.246,2011
005709,2020-10-31,2020,9908.282,1088.061,270.716,1244.615,1951.341,1731.646,48.69,539.887,992.381,8.368,81.818,12.36,2011
005709,2021-10-31,2021,12696.329,3371.925,27.087,1319.329,2181.408,634.692,42.32,542.412,2276.291,258.617,45.919,19.958,2011
005709,2022-10-31,2022,13306.919,3346.121,29.979,1517.721,2214.759,998.255,46.45,546.237,0.0,8.673,79.827,0.0,2011
005709,2023-10-31,2023,13448.772,2467.956,976.767,1371.692,2297.738,753.196,32.55,546.599,1.98,8.827,12.018,12.303,2011
005783,2017-12-31,2017,4465.349,1085.649,0.0,1036.377,2983.331,14.612,114.98,109.753,,,,199.028,4213
005783,2018-12-31,2018,5091.647,898.398,250.706,1302.021,3445.111,7.6,93.04,108.711,,,,170.868,4213
005783,2019-12-31,2019,5470.854,1375.84,44.4,1313.627,3746.366,35.0,116.78,106.213,,,0.0,275.657,4213
